         3878617549 function calls (3810097595 primitive calls) in 3468.996 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20570  405.224    0.020  405.305    0.020 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
597935907  114.770    0.000  179.330    0.000 {built-in method builtins.isinstance}
    17603   97.990    0.006  101.529    0.006 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
41815216/35328370   80.806    0.000  110.871    0.000 {built-in method numpy.array}
  7273842   65.839    0.000  470.968    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
  2422419   60.997    0.000   60.997    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
  1968183   57.619    0.000  103.917    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
 18501994   54.501    0.000   54.501    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1008330   46.395    0.000   46.395    0.000 {built-in method _operator.eq}
167571868   44.476    0.000   61.858    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
 54500745   43.297    0.000  108.029    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
 54502944   38.527    0.000   52.641    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
  7271642   37.860    0.000  133.438    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
  7273842   37.577    0.000  115.988    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
6339794/6339793   36.394    0.000  383.986    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
293371440/293358950   35.583    0.000   38.442    0.000 {built-in method builtins.getattr}
186661754/143432009   34.618    0.000   50.799    0.000 {built-in method builtins.len}
 18229414   33.981    0.000   86.255    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
   858074   29.755    0.000   98.602    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
 20041950   29.638    0.000   61.139    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
 13627170   29.109    0.000   56.067    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
  6810469   27.645    0.000 1257.636    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
 12122405   26.693    0.000   26.695    0.000 {built-in method numpy.empty}
  7269449   26.596    0.000  554.960    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
  2416253   26.526    0.000   46.445    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
  2488050   25.733    0.000  235.770    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:195(comparison_op)
  2416253   22.172    0.000  723.745    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1436(take)
14142427/13301921   21.756    0.000   85.575    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
196460987   21.399    0.000   21.399    0.000 {built-in method builtins.issubclass}
15901294/15158921   20.354    0.000  138.897    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
 20379507   19.604    0.000   43.774    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
 11424910   19.336    0.000   45.727    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
  3692225   18.822    0.000   19.966    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\matplotlib\transforms.py:185(set_children)
