         583480946 function calls (573947864 primitive calls) in 463.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3501   21.474    0.006   22.264    0.006 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6296   18.413    0.003   18.428    0.003 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
 90702901   17.912    0.000   27.595    0.000 {built-in method builtins.isinstance}
5345885/4350471    9.893    0.000   14.469    0.000 {built-in method numpy.array}
   277033    9.664    0.000   32.045    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
   313878    9.519    0.000    9.519    0.000 {built-in method _operator.eq}
   873169    7.867    0.000   54.866    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
 25628376    6.712    0.000    9.410    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
  1964919    6.320    0.000    6.320    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  7967843    6.214    0.000   16.062    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
   290335    6.159    0.000    6.159    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
  7968569    5.870    0.000    8.044    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
921218/921217    5.560    0.000   64.876    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
30110671/24314715    5.290    0.000    7.730    0.000 {built-in method builtins.len}
42842559/42837533    5.237    0.000    5.888    0.000 {built-in method builtins.getattr}
   872442    4.621    0.000   16.502    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
   565808    4.599    0.000    6.198    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
  2347689    4.408    0.000   10.488    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
   873169    4.364    0.000   13.685    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
  2910396    4.336    0.000    9.242    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
   150021    4.195    0.000    7.593    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
   259110    3.822    0.000    5.248    0.000 c:\users\user\anaconda3\envs\tasc\lib\inspect.py:2879(_bind)
  1797973    3.634    0.000    7.144    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
   917375    3.583    0.000  140.074    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
   288017    3.401    0.000    6.076    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
 15939708    3.229    0.000    3.229    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:319(iget)
2418327/2417871    3.168    0.000   10.531    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
   313878    3.144    0.000   32.375    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:195(comparison_op)
   315286    3.142    0.000    3.142    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   871723    3.027    0.000   64.500    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
 27757772    2.999    0.000    2.999    0.000 {built-in method builtins.issubclass}
    19424    2.953    0.000    2.953    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  3518045    2.943    0.000    6.336    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
  4112439    2.883    0.000    6.047    0.000 {pandas._libs.lib.is_list_like}
  1465140    2.816    0.000    2.817    0.000 {built-in method numpy.empty}
   594498    2.704    0.000   21.840    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
   599157    2.696    0.000   14.910    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:2677(get_block_type)
   288017    2.631    0.000   84.787    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1436(take)
  1343839    2.368    0.000    2.368    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:195(__init__)
  1351146    2.342    0.000    5.537    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
  2582256    2.331    0.000    7.381    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:194(is_object_dtype)
   594497    2.268    0.000    3.858    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1187(maybe_castable)
  3612433    2.201    0.000    8.952    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
  4383761    2.179    0.000    2.189    0.000 {built-in method _abc._abc_instancecheck}
4838316/4838306    2.130    0.000    3.436    0.000 {built-in method builtins.hasattr}
   277033    2.073    0.000   15.900    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1448(find_common_type)
1250727/1153770    1.987    0.000    8.797    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1351146    1.964    0.000    2.112    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:139(geterr)
  1505430    1.961    0.000    7.084    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
      152    1.930    0.013  111.415    0.733 C:\Users\user\pybatch\batch_calculations.py:1022(<listcomp>)
      511    1.801    0.004    1.801    0.004 {built-in method io.open}
   288017    1.757    0.000   90.255    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:3256(take)
  1198873    1.744    0.000    6.483    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:256(make_block_same_class)
781969/529860    1.723    0.000  114.640    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexing.py:864(__getitem__)
   566524    1.699    0.000    1.717    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
  1150220    1.683    0.000    7.913    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\common.py:97(is_bool_indexer)
  4716534    1.677    0.000    2.212    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:567(__len__)
   919581    1.626    0.000    2.826    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5097(__finalize__)
   723901    1.619    0.000    4.358    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4086(__getitem__)
  2105274    1.580    0.000    7.974    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:339(extract_array)
  2046041    1.577    0.000    2.710    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:442(name)
   287297    1.569    0.000    1.569    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
  1821451    1.560    0.000    1.784    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:237(mgr_locs)
  4150651    1.560    0.000    2.221    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1565(_get_dtype)
   545766    1.540    0.000    4.318    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\numeric.py:105(_shallow_copy)
246248/123125    1.536    0.000   34.841    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexing.py:757(_getitem_lowerdim)
   813627    1.532    0.000    2.377    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\arrays\numpy_.py:162(__init__)
  3600092    1.507    0.000    2.936    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
   868814    1.479    0.000    5.071    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4199(equals)
   386960    1.450    0.000    3.642    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:292(getitem_block)
   277033    1.426    0.000   67.509    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2816(_ixs)
  1862693    1.424    0.000    1.893    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:377(_get_axis)
   594497    1.409    0.000   11.656    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:520(_try_cast)
  2347689    1.398    0.000    4.384    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:319(_name_includes_bit_suffix)
   587568    1.374    0.000    1.968    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:463(_simple_new)
   313975    1.369    0.000   12.623    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:348(check_array_indexer)
   599100    1.364    0.000   20.168    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:2723(make_block)
   921218    1.348    0.000    1.549    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1541(__init__)
        1    1.339    1.339   20.414   20.414 C:\Users\user\pybatch\batch_calculations.py:457(_get_msd_info)
   529146    1.329    0.000   82.064    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexing.py:1474(_getitem_axis)
      255    1.298    0.005    1.298    0.005 {method 'tobytes' of 'numpy.ndarray' objects}
   461449    1.295    0.000   15.122    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:868(__getitem__)
      255    1.294    0.005    1.294    0.005 {method 'close' of '_io.BufferedRandom' objects}
  1769105    1.277    0.000    6.004    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:381(is_datetime64tz_dtype)
  2197384    1.260    0.000    2.102    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1611(dtype)
  4383761    1.248    0.000    3.437    0.000 c:\users\user\anaconda3\envs\tasc\lib\abc.py:137(__instancecheck__)
  4163762    1.235    0.000    1.235    0.000 {pandas._libs.lib.is_scalar}
  5322337    1.226    0.000    1.226    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:587(<listcomp>)
  1171836    1.217    0.000    2.993    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:365(issubdtype)
  2343672    1.206    0.000    1.683    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:293(issubclass_)
   313982    1.201    0.000   16.516    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:119(na_arithmetic_op)
  1728000    1.199    0.000    2.087    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:492(name)
   286581    1.183    0.000  115.964    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2930(_getitem_bool_array)
   278635    1.171    0.000    3.500    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1310(maybe_cast_to_datetime)
   290336    1.167    0.000   65.807    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1294(<listcomp>)
   594441    1.163    0.000   22.627    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1573(from_array)
3627544/2815900    1.152    0.000    9.900    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_asarray.py:16(asarray)
   169324    1.132    0.000    1.186    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\matplotlib\transforms.py:185(set_children)
   252109    1.130    0.000   27.674    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:3369(xs)
   313982    1.130    0.000   31.641    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:2741(_construct_result)
   410495    1.118    0.000    2.801    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
   422799    1.088    0.000    2.347    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:132(__init__)
   594656    1.073    0.000    2.491    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:212(shape)
   290335    1.061    0.000    1.061    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
   742401    1.051    0.000    1.119    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:398(_set_axis)
  1134528    1.042    0.000    1.187    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4039(__contains__)
