         2628603891 function calls (2583344845 primitive calls) in 2270.819 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12211  131.743    0.011  131.786    0.011 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
     8593   92.283    0.011   95.523    0.011 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
415049649   85.393    0.000  131.999    0.000 {built-in method builtins.isinstance}
  1581238   57.386    0.000   57.386    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
   934021   54.674    0.000   54.674    0.000 {built-in method _operator.eq}
26954125/22189653   53.046    0.000   75.062    0.000 {built-in method numpy.array}
  4747671   42.387    0.000  332.689    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
  1126516   34.863    0.000   62.170    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
 10724146   32.679    0.000   32.679    0.000 {method 'reduce' of 'numpy.ufunc' objects}
117250953   32.244    0.000   45.083    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
 37675115   29.697    0.000   78.075    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
   821401   29.245    0.000   97.014    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
 37676438   28.294    0.000   38.659    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
  4746347   25.488    0.000   88.541    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
4467439/4467438   25.394    0.000  285.848    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
  4747671   25.284    0.000   78.569    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
199935204/199927916   24.909    0.000   26.663    0.000 {built-in method builtins.getattr}
130909458/101931438   24.815    0.000   36.465    0.000 {built-in method builtins.len}
 12133745   23.560    0.000   59.294    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
  1646145   21.440    0.000   21.440    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
 13765502   20.576    0.000   43.580    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
  9224363   19.521    0.000   37.954    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
  4679747   18.955    0.000  844.622    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
  7862266   18.148    0.000   18.149    0.000 {built-in method numpy.empty}
  1572844   18.120    0.000   31.673    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
  1647213   16.433    0.000  179.906    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:195(comparison_op)
  4745030   15.990    0.000  386.565    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
134258753   15.239    0.000   15.239    0.000 {built-in method builtins.issubclass}
11426748/11068980   14.756    0.000   83.996    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
  1572844   14.602    0.000  495.948    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1436(take)
  1674860   14.177    0.000   19.007    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
 14819874   13.594    0.000   30.457    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
  6408003   12.696    0.000   12.696    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:195(__init__)
  7184412   12.407    0.000   29.617    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
7573087/7135977   12.348    0.000   45.098    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2633431   12.207    0.000   67.764    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:2677(get_block_type)
  2620813   11.592    0.000   88.964    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
 16022034   11.455    0.000   23.956    0.000 {pandas._libs.lib.is_list_like}
