         1491317215 function calls (1465780094 primitive calls) in 1319.369 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4976   54.076    0.011   55.800    0.011 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
235329521   48.289    0.000   75.650    0.000 {built-in method builtins.isinstance}
     7649   36.746    0.005   36.770    0.005 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
   890473   33.942    0.000   33.942    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
   536014   33.744    0.000   33.744    0.000 {built-in method _operator.eq}
15271887/12571314   32.278    0.000   46.126    0.000 {built-in method numpy.array}
  2673405   25.860    0.000  195.558    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
   631265   19.244    0.000   34.819    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
 66342497   18.793    0.000   26.268    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
   470158   18.061    0.000   59.472    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
 21289806   17.779    0.000   44.711    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
  5702103   17.549    0.000   17.549    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 21290472   16.058    0.000   21.884    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
2527837/2527836   15.120    0.000  172.092    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
   927527   14.957    0.000   14.957    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  2673405   14.883    0.000   45.337    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
  2672738   14.760    0.000   51.674    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
113095989/113092227   14.744    0.000   15.883    0.000 {built-in method builtins.getattr}
73446073/57085260   14.652    0.000   21.443    0.000 {built-in method builtins.len}
  6841158   13.989    0.000   33.959    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
  7785099   12.812    0.000   27.489    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
  5206265   11.547    0.000   22.414    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
  2644888   11.480    0.000  499.272    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
   885494   11.013    0.000   19.067    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
  4536778   10.771    0.000   10.777    0.000 {built-in method numpy.empty}
   930370    9.938    0.000  110.302    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:195(comparison_op)
6471935/6274211    9.563    0.000   50.614    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
  2672078    9.504    0.000  226.898    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
 75820405    8.789    0.000    8.789    0.000 {built-in method builtins.issubclass}
   958762    8.762    0.000   11.728    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
   885494    8.357    0.000  291.602    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1436(take)
  8397954    8.061    0.000   17.973    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
  3624700    7.708    0.000    7.708    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:195(__init__)
4219027/3896686    7.531    0.000   27.623    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3887422    7.168    0.000   17.916    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
  9108069    7.103    0.000   14.861    0.000 {pandas._libs.lib.is_list_like}
  1491694    7.100    0.000   40.238    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:2677(get_block_type)
  1484597    6.989    0.000   52.401    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
  3887422    6.822    0.000    7.293    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:139(geterr)
   884833    6.757    0.000    6.757    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
  6438968    6.518    0.000   21.104    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:194(is_object_dtype)
 27428703    6.324    0.000    6.324    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:319(iget)
  1484596    6.283    0.000   11.241    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1187(maybe_castable)
  9196951    6.220    0.000   24.170    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
   885494    5.893    0.000  311.124    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:3256(take)
12936161/12936151    5.880    0.000    9.926    0.000 {built-in method builtins.hasattr}
  3714628    5.753    0.000   21.947    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:256(make_block_same_class)
 10235690    5.711    0.000    5.737    0.000 {built-in method _abc._abc_instancecheck}
       60    5.591    0.093  462.311    7.705 C:\Users\user\pybatch\batch_calculations.py:1049(draw_layer_graph)
  5898778    5.568    0.000    9.009    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:442(name)
  6111370    5.124    0.000   26.416    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:339(extract_array)
  2667652    5.115    0.000   16.703    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4199(equals)
  2363310    5.004    0.000    7.774    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\arrays\numpy_.py:162(__init__)
  3343281    4.833    0.000   16.929    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
  2448943    4.802    0.000    8.342    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5097(__finalize__)
  5243153    4.787    0.000    5.497    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:237(mgr_locs)
   334095    4.681    0.000    6.459    0.000 c:\users\user\anaconda3\envs\tasc\lib\inspect.py:2879(_bind)
  6841158    4.646    0.000   14.625    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:319(_name_includes_bit_suffix)
