         1804361874 function calls (1775388855 primitive calls) in 1533.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10257   96.335    0.009   99.802    0.010 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
286018927   56.757    0.000   89.281    0.000 {built-in method builtins.isinstance}
     8578   52.826    0.006   53.106    0.006 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
   995810   47.372    0.000   47.372    0.000 {built-in method _operator.eq}
16591507/13190949   33.367    0.000   50.006    0.000 {built-in method numpy.array}
   881538   32.704    0.000  107.630    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
   921811   30.335    0.000   30.335    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
  2769744   25.578    0.000  189.932    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
 81325877   22.681    0.000   31.774    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
  6286002   20.693    0.000   20.693    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 25272505   20.203    0.000   52.203    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
 25273946   19.428    0.000   26.299    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
3033734/3033733   17.722    0.000  216.285    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
93965657/75595416   16.890    0.000   24.622    0.000 {built-in method builtins.len}
134047962/134039912   16.726    0.000   18.175    0.000 {built-in method builtins.getattr}
  1799460   15.608    0.000   20.946    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
  9284941   14.664    0.000   31.078    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
  2768302   14.659    0.000   52.058    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
  7444562   14.502    0.000   34.751    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
  2769744   14.249    0.000   45.154    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
   463275   14.130    0.000   24.592    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
   992311   13.021    0.000   13.021    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  3023800   12.428    0.000  467.341    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
  5814315   12.366    0.000   23.856    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
   995810   10.862    0.000  124.792    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:195(comparison_op)
 50707054   10.854    0.000   10.854    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:319(iget)
   913358   10.624    0.000   18.610    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
8018872/8017960   10.263    0.000   34.745    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
  2766867   10.125    0.000  222.328    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
 13104255    9.960    0.000   20.249    0.000 {pandas._libs.lib.is_list_like}
 11134462    9.804    0.000   21.165    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
 87981141    9.602    0.000    9.602    0.000 {built-in method builtins.issubclass}
  4619586    9.515    0.000    9.516    0.000 {built-in method numpy.empty}
  1899623    9.309    0.000   50.444    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:2677(get_block_type)
  1886502    8.918    0.000   73.197    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
   913358    8.860    0.000  285.350    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1436(take)
  4511102    8.174    0.000   19.536    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
  4363221    8.130    0.000    8.130    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:195(__init__)
   504272    8.121    0.000   11.224    0.000 c:\users\user\anaconda3\envs\tasc\lib\inspect.py:2879(_bind)
  1886501    7.632    0.000   12.896    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1187(maybe_castable)
 11434731    7.606    0.000   29.751    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
  8184336    7.538    0.000   24.432    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:194(is_object_dtype)
      304    7.530    0.025  385.685    1.269 C:\Users\user\pybatch\batch_calculations.py:1017(<listcomp>)
 13832162    7.116    0.000    7.134    0.000 {built-in method _abc._abc_instancecheck}
  4511102    7.063    0.000    7.588    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:139(geterr)
   881538    7.051    0.000   53.448    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1448(find_common_type)
  4776517    6.666    0.000   23.490    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
14972671/14972661    6.626    0.000   10.909    0.000 {built-in method builtins.hasattr}
  3914749    6.289    0.000   22.237    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:256(make_block_same_class)
   911922    6.139    0.000    6.139    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
3575635/3351733    5.768    0.000   27.060    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    5.737    5.737   77.970   77.970 C:\Users\user\pybatch\batch_calculations.py:457(_get_msd_info)
   913358    5.691    0.000  303.093    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:3256(take)
  2702225    5.689    0.000    8.532    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\arrays\numpy_.py:162(__init__)
  3747209    5.656    0.000   26.669    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\common.py:97(is_bool_indexer)
    32934    5.646    0.000    5.646    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  2267995    5.643    0.000   13.834    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4086(__getitem__)
  3028502    5.637    0.000    9.881    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5097(__finalize__)
  6723458    5.574    0.000    9.254    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:442(name)
  1780348    5.558    0.000    5.614    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
 13169078    5.352    0.000    7.534    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1565(_get_dtype)
2446108/1664540    5.320    0.000  377.221    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexing.py:864(__getitem__)
 14898324    5.230    0.000    6.886    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:567(__len__)
  6676176    5.214    0.000   26.567    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:339(extract_array)
  2759657    5.111    0.000   17.212    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4199(equals)
